round,date,home_team,home_score,away_score,away_team
1,2016-05-14,Flamengo,1,0,Sport Recife
1,2016-05-14,Palmeiras,4,0,Athletico-PR
1,2016-05-14,Atl. Mineiro,1,0,Santos
1,2016-05-14,Coritiba,1,0,Cruzeiro EC
1,2016-05-15,Botafogo,0,1,São Paulo
1,2016-05-15,Santa Cruz,4,1,Vitória
1,2016-05-15,América MG,0,1,Fluminense
1,2016-05-15,Corinthians,0,0,Grêmio
1,2016-05-15,Figueirense,0,0,Ponte Preta
1,2016-05-15,Internacional,0,0,Chapecoense
2,2016-05-21,Ponte Preta,2,1,Palmeiras
2,2016-05-21,Fluminense,2,2,Santa Cruz
2,2016-05-21,Cruzeiro EC,2,2,Figueirense
2,2016-05-22,Athletico-PR,1,1,Atl. Mineiro
2,2016-05-22,Santos,2,1,Coritiba
2,2016-05-22,Chapecoense,3,1,América MG
2,2016-05-22,Grêmio,1,0,Flamengo
2,2016-05-22,São Paulo,1,2,Internacional
2,2016-05-22,Vitória,3,2,Corinthians
2,2016-05-22,Sport Recife,1,1,Botafogo
3,2016-05-25,Botafogo,2,1,Athletico-PR
3,2016-05-25,Figueirense,2,2,Santos
3,2016-05-25,América MG,1,1,Vitória
3,2016-05-25,Flamengo,2,2,Chapecoense
3,2016-05-25,Coritiba,1,1,São Paulo
3,2016-05-25,Palmeiras,2,0,Fluminense
3,2016-05-25,Santa Cruz,4,1,Cruzeiro EC
3,2016-05-26,Corinthians,3,0,Ponte Preta
3,2016-05-26,Internacional,1,0,Sport Recife
3,2016-05-26,Atl. Mineiro,0,3,Grêmio
4,2016-05-28,Cruzeiro EC,1,1,América MG
4,2016-05-28,Athletico-PR,2,1,Figueirense
4,2016-05-28,Chapecoense,1,1,Santa Cruz
4,2016-05-29,Ponte Preta,1,2,Flamengo
4,2016-05-29,Sport Recife,0,2,Corinthians
4,2016-05-29,Fluminense,1,0,Botafogo
4,2016-05-29,São Paulo,1,0,Palmeiras
4,2016-05-29,Vitória,1,1,Atl. Mineiro
4,2016-05-29,Grêmio,2,0,Coritiba
4,2016-05-29,Santos,0,1,Internacional
5,2016-06-01,Internacional,1,0,Athletico-PR
5,2016-06-01,Corinthians,1,0,Santos
5,2016-06-01,Coritiba,3,4,Chapecoense
5,2016-06-01,Santa Cruz,0,1,Sport Recife
5,2016-06-01,Atl. Mineiro,1,1,Fluminense
5,2016-06-01,Botafogo,0,1,Cruzeiro EC
5,2016-06-01,Figueirense,1,0,São Paulo
5,2016-06-02,América MG,1,2,Ponte Preta
5,2016-06-02,Flamengo,1,0,Vitória
5,2016-06-02,Palmeiras,4,3,Grêmio
6,2016-06-04,Athletico-PR,1,0,Santa Cruz
6,2016-06-04,Chapecoense,0,0,Fluminense
6,2016-06-04,Corinthians,2,1,Coritiba
6,2016-06-05,América MG,1,0,Figueirense
6,2016-06-05,Santos,3,0,Botafogo
6,2016-06-05,Flamengo,1,2,Palmeiras
6,2016-06-05,Grêmio,1,0,Ponte Preta
6,2016-06-05,Sport Recife,4,4,Atl. Mineiro
6,2016-06-05,Vitória,1,0,Internacional
6,2016-06-05,Cruzeiro EC,0,1,São Paulo
7,2016-06-11,Internacional,3,1,América MG
7,2016-06-11,Ponte Preta,2,1,Chapecoense
7,2016-06-11,Fluminense,1,1,Grêmio
7,2016-06-11,São Paulo,1,2,Athletico-PR
7,2016-06-12,Botafogo,1,1,Vitória
7,2016-06-12,Coritiba,3,2,Sport Recife
7,2016-06-12,Atl. Mineiro,2,3,Cruzeiro EC
7,2016-06-12,Figueirense,1,0,Flamengo
7,2016-06-12,Palmeiras,1,0,Corinthians
