date,gameweek,home,home_score,away_score,away
2015-05-09 18:30:00,1,Chapecoense,2,1,Coritiba
2015-05-09 18:30:00,1,Palmeiras,2,2,Atlético Mineiro
2015-05-09 21:00:00,1,Fluminense,1,0,Joinville
2015-05-10 11:00:00,1,Grêmio,3,3,Ponte Preta
2015-05-10 15:00:00,1,Cruzeiro,0,1,Corinthians
2015-05-10 16:00:00,1,São Paulo,2,1,Flamengo
2015-05-10 16:00:00,1,Sport Recife,4,1,Figueirense
2015-05-10 16:00:00,1,Atl Paranaense,3,0,Internacional
2015-05-10 18:30:00,1,Vasco da Gama,0,0,Goiás
2015-05-10 18:30:00,1,Avaí,1,1,Santos
2015-05-16 18:30:00,2,Coritiba,2,0,Grêmio
2015-05-16 18:30:00,2,Goiás,2,0,Atl Paranaense
2015-05-16 21:00:00,2,Corinthians,1,0,Chapecoense
2015-05-17 11:00:00,2,Figueirense,0,0,Vasco da Gama
2015-05-17 16:00:00,2,Flamengo,2,2,Sport Recife
2015-05-17 16:00:00,2,Atlético Mineiro,4,1,Fluminense
2015-05-17 16:00:00,2,Santos,1,0,Cruzeiro
2015-05-17 18:30:00,2,Joinville,0,0,Palmeiras
2015-05-17 18:30:00,2,Internacional,1,0,Avaí
2015-05-17 18:30:00,2,Ponte Preta,1,0,São Paulo
2015-05-23 18:30:00,3,Vasco da Gama,1,1,Internacional
2015-05-23 18:30:00,3,São Paulo,3,0,Joinville
2015-05-23 21:00:00,3,Grêmio,1,0,Figueirense
2015-05-24 11:00:00,3,Palmeiras,0,1,Goiás
2015-05-24 16:00:00,3,Fluminense,0,0,Corinthians
2015-05-24 16:00:00,3,Chapecoense,1,0,Santos
2015-05-24 16:00:00,3,Atl Paranaense,1,0,Atlético Mineiro
2015-05-24 16:00:00,3,Avaí,2,1,Flamengo
2015-05-24 18:30:00,3,Sport Recife,1,0,Coritiba
2015-05-24 18:30:00,3,Cruzeiro,1,1,Ponte Preta
2015-05-30 18:30:00,4,Ponte Preta,3,1,Chapecoense
2015-05-30 18:30:00,4,Coritiba,1,2,Avaí
2015-05-30 21:00:00,4,Joinville,1,2,Atl Paranaense
2015-05-31 11:00:00,4,Santos,2,2,Sport Recife
2015-05-31 16:00:00,4,Internacional,0,0,São Paulo
2015-05-31 16:00:00,4,Atlético Mineiro,3,0,Vasco da Gama
2015-05-31 16:00:00,4,Corinthians,0,2,Palmeiras
2015-05-31 16:00:00,4,Goiás,1,1,Grêmio
2015-05-31 18:30:00,4,Flamengo,2,3,Fluminense
2015-05-31 18:30:00,4,Figueirense,2,1,Cruzeiro
2015-06-03 19:30:00,5,Vasco da Gama,0,3,Ponte Preta
2015-06-03 19:30:00,5,Atl Paranaense,1,0,Figueirense
2015-06-03 19:30:00,5,Chapecoense,2,0,Joinville
2015-06-03 21:00:00,5,São Paulo,3,2,Santos
2015-06-03 22:00:00,5,Avaí,1,4,Atlético Mineiro
2015-06-03 22:00:00,5,Grêmio,3,1,Corinthians
2015-06-03 22:00:00,5,Cruzeiro,1,0,Flamengo
2015-06-04 16:00:00,5,Fluminense,2,0,Coritiba
2015-06-04 21:00:00,5,Palmeiras,1,1,Internacional
2015-06-04 21:00:00,5,Sport Recife,1,0,Goiás
2015-06-06 18:30:00,6,Atlético Mineiro,1,3,Cruzeiro
2015-06-06 18:30:00,6,Flamengo,1,0,Chapecoense
2015-06-06 18:30:00,6,Santos,2,2,Ponte Preta
2015-06-06 22:00:00,6,Atl Paranaense,2,0,Vasco da Gama
2015-06-06 22:00:00,6,São Paulo,2,0,Grêmio
2015-06-06 22:00:00,6,Joinville,0,1,Corinthians
2015-06-07 11:00:00,6,Internacional,2,0,Coritiba
2015-06-07 19:30:00,6,Fluminense,0,0,Sport Recife
2015-06-07 19:30:00,6,Figueirense,2,1,Palmeiras
2015-06-07 19:30:00,6,Goiás,0,1,Avaí
2015-06-10 19:30:00,7,Atlético Mineiro,2,2,Santos
2015-06-13 16:30:00,7,Coritiba,0,1,Flamengo
2015-06-13 16:30:00,7,Corinthians,2,1,Internacional
2015-06-13 16:30:00,7,Chapecoense,0,1,São Paulo
2015-06-13 21:00:00,7,Sport Recife,2,1,Joinville
2015-06-13 21:00:00,7,Vasco da Gama,1,3,Cruzeiro
2015-06-14 11:00:00,7,Ponte Preta,0,0,Goiás
2015-06-14 16:00:00,7,Palmeiras,2,1,Fluminense
2015-06-14 16:00:00,7,Grêmio,2,1,Atl Paranaense
2015-06-14 16:00:00,7,Avaí,1,1,Figueirense
2015-06-18 21:00:00,8,Figueirense,0,0,Internacional
2015-06-20 16:30:00,8,Flamengo,0,2,Atlético Mineiro
2015-06-20 16:30:00,8,Santos,1,0,Corinthians
2015-06-20 16:30:00,8,Sport Recife,2,1,Vasco da Gama
2015-06-20 21:00:00,8,Grêmio,1,0,Palmeiras
2015-06-21 11:00:00,8,Cruzeiro,0,1,Chapecoense
2015-06-21 16:00:00,8,São Paulo,1,1,Avaí
2015-06-21 16:00:00,8,Joinville,2,1,Goiás
2015-06-21 16:00:00,8,Atl Paranaense,2,2,Coritiba
2015-06-24 19:30:00,8,Fluminense,2,0,Ponte Preta
2015-06-27 16:00:00,9,Chapecoense,1,1,Sport Recife
2015-06-27 16:00:00,9,Avaí,1,2,Grêmio
2015-06-27 21:00:00,9,Corinthians,2,1,Figueirense
2015-06-28 11:00:00,9,Atlético Mineiro,1,0,Joinville
2015-06-28 16:00:00,9,Ponte Preta,2,1,Atl Paranaense
2015-06-28 16:00:00,9,Coritiba,1,0,Cruzeiro
2015-06-28 16:00:00,9,Goiás,1,2,Fluminense
2015-06-28 16:00:00,9,Palmeiras,4,0,São Paulo
2015-06-28 18:30:00,9,Internacional,1,0,Santos
2015-06-28 18:30:00,9,Vasco da Gama,1,0,Flamengo
2015-07-01 19:30:00,10,Sport Recife,3,0,Internacional
2015-07-01 19:30:00,10,Vasco da Gama,1,0,Avaí
2015-07-01 21:00:00,10,Palmeiras,2,0,Chapecoense
2015-07-01 21:00:00,10,Atlético Mineiro,2,0,Coritiba
2015-07-01 22:00:00,10,Joinville,0,1,Flamengo
2015-07-01 22:00:00,10,Grêmio,1,0,Cruzeiro
2015-07-01 22:00:00,10,Atl Paranaense,2,1,São Paulo
2015-07-02 19:30:00,10,Figueirense,3,1,Goiás
2015-07-02 19:30:00,10,Corinthians,2,0,Ponte Preta
2015-07-02 21:00:00,10,Fluminense,2,1,Santos
2015-07-04 15:00:00,11,Coritiba,0,0,Joinville
2015-07-04 21:00:00,11,Chapecoense,1,0,Vasco da Gama
2015-07-04 21:00:00,11,Cruzeiro,2,0,Atl Paranaense
2015-07-05 11:00:00,11,Avaí,2,2,Sport Recife
2015-07-05 16:00:00,11,Santos,1,3,Grêmio
2015-07-05 16:00:00,11,Goiás,0,0,Corinthians
2015-07-05 16:00:00,11,São Paulo,0,0,Fluminense
2015-07-05 18:30:00,11,Internacional,1,3,Atlético Mineiro
2015-07-05 18:30:00,11,Ponte Preta,0,2,Palmeiras
2015-07-05 18:30:00,11,Flamengo,1,2,Figueirense
2015-07-08 19:30:00,12,Goiás,4,1,Santos
2015-07-08 19:30:00,12,Chapecoense,1,0,Grêmio
2015-07-08 19:30:00,12,Coritiba,0,0,Ponte Preta
2015-07-08 21:00:00,12,Figueirense,0,2,Joinville
2015-07-08 21:00:00,12,Palmeiras,3,0,Avaí
2015-07-08 22:00:00,12,Vasco da Gama,0,4,São Paulo
2015-07-08 22:00:00,12,Internacional,1,2,Flamengo
2015-07-08 22:00:00,12,Atlético Mineiro,2,1,Sport Recife
2015-07-09 19:30:00,12,Corinthians,2,0,Atl Paranaense
2015-07-09 21:00:00,12,Fluminense,1,0,Cruzeiro
2015-07-11 18:30:00,13,Grêmio,2,0,Vasco da Gama
2015-07-11 18:30:00,13,Santos,3,0,Figueirense
2015-07-11 21:00:00,13,Ponte Preta,0,2,Atlético Mineiro
