match,player,X,Y
Corinthians x Atlético GO,Cássio,3,53
Corinthians x Atlético GO,Cássio,11,63
Corinthians x Atlético GO,Cássio,13,19
Corinthians x Atlético GO,Cássio,4,50
Corinthians x Atlético GO,Cássio,4,50
Corinthians x Atlético GO,Cássio,1,53
Corinthians x Atlético GO,Cássio,11,52
Corinthians x Atlético GO,Cássio,7,25
Corinthians x Atlético GO,Cássio,7,24
Corinthians x Atlético GO,Cássio,24,59
Corinthians x Atlético GO,Cássio,4,60
Corinthians x Atlético GO,Cássio,2,52
Corinthians x Atlético GO,Cássio,8,58
Corinthians x Atlético GO,Cássio,8,59
Corinthians x Atlético GO,Cássio,12,63
Corinthians x Atlético GO,Cássio,3,58
Corinthians x Atlético GO,Cássio,14,26
Corinthians x Atlético GO,Cássio,15,32
Corinthians x Atlético GO,Cássio,15,37
Corinthians x Atlético GO,Cássio,13,47
Corinthians x Atlético GO,Cássio,6,43
Corinthians x Atlético GO,Cássio,4,47
Corinthians x Atlético GO,Cássio,3,53
Corinthians x Atlético GO,Cássio,9,60
Corinthians x Atlético GO,Cássio,25,60
Corinthians x Atlético GO,Cássio,5,49
Corinthians x Atlético GO,Cássio,8,63
Corinthians x Atlético GO,Cássio,1,52
Corinthians x Atlético GO,Cássio,0,58
Corinthians x Atlético GO,Cássio,1,51
Corinthians x Atlético GO,Cássio,4,52
Corinthians x Atlético GO,Cássio,13,52
Corinthians x Atlético GO,Cássio,11,44
Corinthians x Atlético GO,Cássio,14,50
Corinthians x Atlético GO,Cássio,5,47
Corinthians x Atlético GO,Cássio,13,52
Corinthians x Atlético GO,Cássio,3,52
Corinthians x Atlético GO,Cássio,7,45
Corinthians x Atlético GO,Cássio,7,66
Corinthians x Atlético GO,Cássio,7,38
Corinthians x Atlético GO,Cássio,13,62
Corinthians x Atlético GO,Cássio,14,66
Corinthians x Atlético GO,Cássio,2,55
Corinthians x Atlético GO,Cássio,9,19
Corinthians x Atlético GO,Cássio,11,50
Corinthians x Atlético GO,Cássio,8,64
Corinthians x Atlético GO,Cássio,14,56
Corinthians x Atlético GO,Cássio,14,62
Corinthians x Atlético GO,Cássio,4,51
Corinthians x Atlético GO,Cássio,3,33
Corinthians x Atlético GO,Cássio,5,53
Corinthians x Atlético GO,Cássio,4,49
Corinthians x Atlético GO,Cássio,1,48
Corinthians x Atlético GO,Cássio,1,49
Corinthians x Atlético GO,Cássio,13,51
Corinthians x Atlético GO,M. Macedo,91,12
Corinthians x Atlético GO,M. Macedo,43,0
Corinthians x Atlético GO,M. Macedo,42,6
Corinthians x Atlético GO,M. Macedo,50,5
Corinthians x Atlético GO,M. Macedo,58,0
Corinthians x Atlético GO,M. Macedo,54,6
Corinthians x Atlético GO,M. Macedo,22,4
Corinthians x Atlético GO,M. Macedo,22,4
Corinthians x Atlético GO,M. Macedo,47,13
Corinthians x Atlético GO,M. Macedo,38,43
Corinthians x Atlético GO,M. Macedo,10,2
Corinthians x Atlético GO,M. Macedo,2,20
Corinthians x Atlético GO,M. Macedo,12,8
Corinthians x Atlético GO,M. Macedo,44,6
Corinthians x Atlético GO,M. Macedo,60,0
Corinthians x Atlético GO,M. Macedo,36,53
Corinthians x Atlético GO,M. Macedo,36,49
Corinthians x Atlético GO,M. Macedo,66,8
Corinthians x Atlético GO,M. Macedo,87,44
Corinthians x Atlético GO,M. Macedo,7,40
Corinthians x Atlético GO,M. Macedo,23,13
Corinthians x Atlético GO,M. Macedo,41,20
Corinthians x Atlético GO,M. Macedo,34,12
Corinthians x Atlético GO,M. Macedo,5,25
Corinthians x Atlético GO,M. Macedo,2,23
Corinthians x Atlético GO,M. Macedo,39,4
Corinthians x Atlético GO,M. Macedo,34,0
Corinthians x Atlético GO,M. Macedo,34,10
Corinthians x Atlético GO,M. Macedo,31,20
Corinthians x Atlético GO,M. Macedo,45,22
Corinthians x Atlético GO,M. Macedo,21,0
Corinthians x Atlético GO,M. Macedo,38,8
Corinthians x Atlético GO,M. Macedo,35,14
Corinthians x Atlético GO,M. Macedo,30,6
Corinthians x Atlético GO,M. Macedo,30,6
Corinthians x Atlético GO,M. Macedo,22,3
Corinthians x Atlético GO,M. Macedo,40,9
Corinthians x Atlético GO,M. Macedo,26,6
Corinthians x Atlético GO,M. Macedo,26,6
Corinthians x Atlético GO,M. Macedo,37,1
Corinthians x Atlético GO,M. Macedo,42,4
Corinthians x Atlético GO,M. Macedo,31,26
Corinthians x Atlético GO,M. Macedo,27,6
Corinthians x Atlético GO,M. Macedo,38,2
Corinthians x Atlético GO,M. Macedo,57,11
Corinthians x Atlético GO,M. Macedo,60,5
Corinthians x Atlético GO,M. Macedo,22,28
Corinthians x Atlético GO,M. Macedo,7,41
Corinthians x Atlético GO,M. Macedo,37,10
Corinthians x Atlético GO,M. Macedo,54,16
Corinthians x Atlético GO,M. Macedo,45,25
Corinthians x Atlético GO,M. Macedo,57,9
Corinthians x Atlético GO,M. Macedo,68,1
Corinthians x Atlético GO,M. Macedo,73,17
Corinthians x Atlético GO,M. Macedo,73,14
Corinthians x Atlético GO,M. Macedo,25,0
Corinthians x Atlético GO,M. Macedo,23,1
Corinthians x Atlético GO,M. Macedo,22,4
Corinthians x Atlético GO,M. Macedo,15,2
Corinthians x Atlético GO,M. Macedo,9,45
Corinthians x Atlético GO,M. Macedo,14,53
Corinthians x Atlético GO,M. Macedo,34,12
Corinthians x Atlético GO,M. Macedo,10,40
Corinthians x Atlético GO,M. Macedo,36,7
Corinthians x Atlético GO,M. Macedo,35,12
Corinthians x Atlético GO,M. Macedo,38,5
Corinthians x Atlético GO,M. Macedo,57,4
Corinthians x Atlético GO,M. Macedo,15,0
Corinthians x Atlético GO,M. Macedo,11,3
Corinthians x Atlético GO,M. Macedo,44,0
Corinthians x Atlético GO,M. Macedo,41,31
Corinthians x Atlético GO,M. Macedo,21,19
Corinthians x Atlético GO,M. Macedo,22,0
Corinthians x Atlético GO,M. Macedo,9,1
Corinthians x Atlético GO,M. Macedo,20,25
Corinthians x Atlético GO,M. Macedo,20,25
Corinthians x Atlético GO,M. Macedo,23,25
Corinthians x Atlético GO,M. Macedo,41,24
Corinthians x Atlético GO,M. Macedo,37,9
Corinthians x Atlético GO,M. Macedo,37,9
Corinthians x Atlético GO,M. Macedo,39,12
Corinthians x Atlético GO,Gil,1,30
Corinthians x Atlético GO,Gil,5,30
Corinthians x Atlético GO,Gil,5,32
Corinthians x Atlético GO,Gil,9,15
Corinthians x Atlético GO,Gil,55,43
Corinthians x Atlético GO,Gil,34,44
Corinthians x Atlético GO,Gil,36,14
Corinthians x Atlético GO,Gil,38,33
Corinthians x Atlético GO,Gil,45,28
Corinthians x Atlético GO,Gil,45,28
Corinthians x Atlético GO,Gil,39,36
Corinthians x Atlético GO,Gil,46,51
Corinthians x Atlético GO,Gil,3,26
Corinthians x Atlético GO,Gil,2,12
Corinthians x Atlético GO,Gil,3,65
Corinthians x Atlético GO,Gil,17,56
Corinthians x Atlético GO,Gil,7,59
Corinthians x Atlético GO,Gil,15,23
Corinthians x Atlético GO,Gil,19,34
Corinthians x Atlético GO,Gil,18,26
Corinthians x Atlético GO,Gil,19,17
Corinthians x Atlético GO,Gil,42,35
Corinthians x Atlético GO,Gil,40,32
Corinthians x Atlético GO,Gil,6,32
Corinthians x Atlético GO,Gil,11,21
Corinthians x Atlético GO,Gil,26,40
Corinthians x Atlético GO,Gil,23,36
Corinthians x Atlético GO,Gil,18,31
Corinthians x Atlético GO,Gil,21,35
Corinthians x Atlético GO,Gil,37,44
Corinthians x Atlético GO,Gil,43,45
Corinthians x Atlético GO,Gil,8,46
Corinthians x Atlético GO,Gil,29,45
Corinthians x Atlético GO,Gil,44,28
Corinthians x Atlético GO,Gil,45,34
Corinthians x Atlético GO,Gil,32,45
Corinthians x Atlético GO,Gil,36,40
Corinthians x Atlético GO,Gil,32,28
Corinthians x Atlético GO,Gil,33,32
Corinthians x Atlético GO,Gil,42,50
Corinthians x Atlético GO,Gil,26,48
Corinthians x Atlético GO,Gil,30,44
Corinthians x Atlético GO,Gil,29,60
Corinthians x Atlético GO,Gil,7,15
Corinthians x Atlético GO,Gil,26,49
Corinthians x Atlético GO,Gil,13,5
Corinthians x Atlético GO,Gil,34,33
Corinthians x Atlético GO,Gil,34,38
Corinthians x Atlético GO,Gil,27,21
Corinthians x Atlético GO,Gil,37,31
Corinthians x Atlético GO,Gil,27,52
Corinthians x Atlético GO,Gil,29,48
Corinthians x Atlético GO,Gil,33,50
Corinthians x Atlético GO,Gil,25,29
Corinthians x Atlético GO,Gil,33,41
Corinthians x Atlético GO,Gil,46,27
Corinthians x Atlético GO,Gil,53,55
Corinthians x Atlético GO,Gil,58,28
Corinthians x Atlético GO,Gil,53,75
Corinthians x Atlético GO,Gil,34,29
Corinthians x Atlético GO,Gil,46,46
Corinthians x Atlético GO,Gil,57,63
Corinthians x Atlético GO,Gil,54,45
Corinthians x Atlético GO,Gil,54,44
Corinthians x Atlético GO,Gil,30,39
Corinthians x Atlético GO,Gil,34,39
