match,player,X,Y
Flamengo x Atl. Mineiro,D. Alves,11,35
Flamengo x Atl. Mineiro,D. Alves,7,56
Flamengo x Atl. Mineiro,D. Alves,12,52
Flamengo x Atl. Mineiro,D. Alves,3,51
Flamengo x Atl. Mineiro,D. Alves,7,49
Flamengo x Atl. Mineiro,D. Alves,6,50
Flamengo x Atl. Mineiro,D. Alves,1,43
Flamengo x Atl. Mineiro,D. Alves,6,41
Flamengo x Atl. Mineiro,D. Alves,18,45
Flamengo x Atl. Mineiro,D. Alves,13,35
Flamengo x Atl. Mineiro,D. Alves,4,68
Flamengo x Atl. Mineiro,D. Alves,11,54
Flamengo x Atl. Mineiro,D. Alves,11,64
Flamengo x Atl. Mineiro,D. Alves,1,72
Flamengo x Atl. Mineiro,D. Alves,11,50
Flamengo x Atl. Mineiro,D. Alves,13,33
Flamengo x Atl. Mineiro,D. Alves,13,34
Flamengo x Atl. Mineiro,D. Alves,18,55
Flamengo x Atl. Mineiro,D. Alves,5,68
Flamengo x Atl. Mineiro,D. Alves,4,34
Flamengo x Atl. Mineiro,D. Alves,3,59
Flamengo x Atl. Mineiro,D. Alves,23,50
Flamengo x Atl. Mineiro,D. Alves,9,51
Flamengo x Atl. Mineiro,D. Alves,5,53
Flamengo x Atl. Mineiro,D. Alves,4,59
Flamengo x Atl. Mineiro,D. Alves,23,38
Flamengo x Atl. Mineiro,D. Alves,4,49
Flamengo x Atl. Mineiro,D. Alves,9,38
Flamengo x Atl. Mineiro,D. Alves,8,50
Flamengo x Atl. Mineiro,D. Alves,15,48
Flamengo x Atl. Mineiro,D. Alves,15,28
Flamengo x Atl. Mineiro,D. Alves,15,27
Flamengo x Atl. Mineiro,D. Alves,11,38
Flamengo x Atl. Mineiro,D. Alves,2,51
Flamengo x Atl. Mineiro,D. Alves,17,26
Flamengo x Atl. Mineiro,D. Alves,17,26
Flamengo x Atl. Mineiro,D. Alves,7,56
Flamengo x Atl. Mineiro,D. Alves,24,58
Flamengo x Atl. Mineiro,D. Alves,2,50
Flamengo x Atl. Mineiro,D. Alves,12,65
Flamengo x Atl. Mineiro,D. Alves,28,39
Flamengo x Atl. Mineiro,D. Alves,8,46
Flamengo x Atl. Mineiro,D. Alves,8,46
Flamengo x Atl. Mineiro,D. Alves,2,50
Flamengo x Atl. Mineiro,D. Alves,2,50
Flamengo x Atl. Mineiro,D. Alves,9,47
Flamengo x Atl. Mineiro,D. Alves,3,48
Flamengo x Atl. Mineiro,D. Alves,12,43
Flamengo x Atl. Mineiro,D. Alves,6,88
Flamengo x Atl. Mineiro,D. Alves,7,56
Flamengo x Atl. Mineiro,D. Alves,5,39
Flamengo x Atl. Mineiro,D. Alves,1,50
Flamengo x Atl. Mineiro,D. Alves,1,50
Flamengo x Atl. Mineiro,D. Alves,7,52
Flamengo x Atl. Mineiro,D. Alves,26,45
Flamengo x Atl. Mineiro,D. Alves,25,51
Flamengo x Atl. Mineiro,D. Alves,15,46
Flamengo x Atl. Mineiro,D. Alves,19,53
Flamengo x Atl. Mineiro,D. Alves,5,44
Flamengo x Atl. Mineiro,Rafinha,25,0
Flamengo x Atl. Mineiro,Rafinha,54,26
Flamengo x Atl. Mineiro,Rafinha,51,27
Flamengo x Atl. Mineiro,Rafinha,54,31
Flamengo x Atl. Mineiro,Rafinha,26,7
Flamengo x Atl. Mineiro,Rafinha,46,0
Flamengo x Atl. Mineiro,Rafinha,20,27
Flamengo x Atl. Mineiro,Rafinha,94,0
Flamengo x Atl. Mineiro,Rafinha,51,3
Flamengo x Atl. Mineiro,Rafinha,59,0
Flamengo x Atl. Mineiro,Rafinha,29,0
Flamengo x Atl. Mineiro,Rafinha,55,5
Flamengo x Atl. Mineiro,Rafinha,60,10
Flamengo x Atl. Mineiro,Rafinha,58,5
Flamengo x Atl. Mineiro,Rafinha,67,0
Flamengo x Atl. Mineiro,Rafinha,54,15
Flamengo x Atl. Mineiro,Rafinha,29,0
Flamengo x Atl. Mineiro,Rafinha,13,10
Flamengo x Atl. Mineiro,Rafinha,10,10
Flamengo x Atl. Mineiro,Rafinha,32,63
Flamengo x Atl. Mineiro,Rafinha,24,3
Flamengo x Atl. Mineiro,Rafinha,11,0
Flamengo x Atl. Mineiro,Rafinha,68,39
Flamengo x Atl. Mineiro,Rafinha,26,6
Flamengo x Atl. Mineiro,Rafinha,24,15
Flamengo x Atl. Mineiro,Rafinha,27,27
Flamengo x Atl. Mineiro,Rafinha,52,3
Flamengo x Atl. Mineiro,Rafinha,5,4
Flamengo x Atl. Mineiro,Rafinha,4,3
Flamengo x Atl. Mineiro,Rafinha,55,6
Flamengo x Atl. Mineiro,Rafinha,56,6
Flamengo x Atl. Mineiro,Rafinha,56,6
Flamengo x Atl. Mineiro,Rafinha,71,28
Flamengo x Atl. Mineiro,Rafinha,60,6
Flamengo x Atl. Mineiro,Rafinha,55,10
Flamengo x Atl. Mineiro,Rafinha,48,26
Flamengo x Atl. Mineiro,Rafinha,54,9
Flamengo x Atl. Mineiro,Rafinha,66,23
Flamengo x Atl. Mineiro,Rafinha,66,34
Flamengo x Atl. Mineiro,Rafinha,25,3
Flamengo x Atl. Mineiro,Rafinha,32,4
Flamengo x Atl. Mineiro,Rafinha,29,11
Flamengo x Atl. Mineiro,Rafinha,87,0
Flamengo x Atl. Mineiro,Rafinha,87,3
Flamengo x Atl. Mineiro,Rafinha,69,0
Flamengo x Atl. Mineiro,Rafinha,56,4
Flamengo x Atl. Mineiro,Rafinha,70,5
Flamengo x Atl. Mineiro,Rafinha,70,6
Flamengo x Atl. Mineiro,Rafinha,69,13
Flamengo x Atl. Mineiro,Rafinha,39,13
Flamengo x Atl. Mineiro,Rafinha,34,8
Flamengo x Atl. Mineiro,Rafinha,30,4
Flamengo x Atl. Mineiro,Rafinha,29,15
Flamengo x Atl. Mineiro,Rafinha,29,0
Flamengo x Atl. Mineiro,Rafinha,35,3
Flamengo x Atl. Mineiro,Rafinha,59,62
Flamengo x Atl. Mineiro,Rafinha,13,49
