X,Y
32,31
32,31
32,96
32,54
32,16
32,59
32,59
32,42
32,40
32,40
32,68
32,95
32,14
32,34
59,88
59,28
59,28
59,44
59,41
59,22
59,86
59,86
59,77
59,67
59,75
59,38
59,21
59,81
59,58
59,96
59,100
78,63
78,69
78,60
78,87
78,87
78,62
78,42
78,58
78,66
78,82
78,89
78,81
71,24
71,69
71,74
71,79
71,20
71,90
71,67
71,67
71,55
71,38
71,16
71,4
71,81
71,70
71,12
71,56
71,8
71,19
71,73
71,28
71,60
71,10
71,22
38,38
38,11
38,35
38,72
38,100
38,33
53,55
53,27
53,54
53,32
53,49
53,63
53,15
53,91
53,89
53,2
53,65
53,25
53,25
53,52
53,28
44,74
44,15
44,41
44,40
44,92
44,87
44,78
44,76
44,76
44,32
44,12
44,81
44,16
63,65
63,75
63,41
63,80
63,10
63,10
63,66
63,66
63,96
63,48
63,48
63,83
63,8
63,87
63,88
63,16
63,33
63,33
63,17
63,100
80,8
80,39
80,60
80,80
80,54
80,93
79,9
79,37
79,94
79,87
79,87
79,60
79,24
79,35
79,5
79,38
79,6
79,53
68,69
68,40
68,80
68,90
68,93
68,61
68,73
68,11
68,24
68,79
68,79
68,77
68,52
68,52
68,72
68,19
68,76
68,22
68,7
68,42
68,17
65,44
65,57
65,31
65,77
65,14
65,54
65,79
65,80
65,80
65,26
65,87
65,35
65,67
65,12
65,69
65,8
65,61
65,19
65,95
65,59
65,23
61,45
61,82
61,65
61,65
61,16
61,29
61,95
61,34
61,34
61,27
61,97
61,98
61,72
61,74
61,75
61,73
61,35
61,53
61,50
61,11
61,43
62,53
62,53
62,53
62,53
62,63
62,74
62,66
62,18
62,58
62,15
62,33
62,41
62,73
62,72
62,75
62,51
62,67
67,42
67,60
67,60
67,65
67,28
67,44
67,40
67,88
67,62
67,34
67,34
67,79
67,56
67,82
67,68
67,59
67,87
67,24
46,51
46,30
46,52
46,35
46,53
46,71
46,43
46,43
46,76
46,17
46,66
46,65
46,65
46,91
30,78
30,93
30,72
69,66
69,64
69,74
69,30
69,83
69,11
69,84
69,91
69,91
69,88
69,50
69,62
58,71
58,83
58,72
58,72
58,57
58,75
58,31
58,89
58,29
58,38
58,66
58,12
58,91
58,32
58,92
58,78
58,76
66,62
66,69
66,76
66,6
66,97
66,60
66,5
66,66
66,73
66,30
66,39
66,22
66,17
96,49
96,45
54,29
54,88
54,88
54,19
54,70
54,81
54,44
54,53
54,12
54,82
75,68
75,68
75,41
75,41
75,88
75,85
75,71
75,16
75,18
75,12
75,58
75,72
75,91
75,20
75,63
75,2
99,99
92,75
92,40
92,61
92,5
92,26
74,55
74,62
74,74
74,59
74,28
74,39
74,90
74,90
74,89
74,73
74,83
74,45
74,81
74,81
74,52
74,52
74,24
74,72
74,60
74,82
74,82
74,88
74,9
74,53
64,38
64,35
64,63
64,91
64,72
64,51
64,51
64,76
64,34
64,58
64,77
64,28
64,96
64,21
64,21
64,33
76,56
76,65
76,94
76,94
76,59
76,30
76,49
76,11
76,61
76,63
76,13
76,32
76,32
76,92
76,14
76,79
76,35
52,77
52,70
52,19
52,57
52,29
52,51
52,69
52,42
52,44
52,86
52,79
52,60
52,48
52,62
52,59
52,24
37,95
37,95
37,95
37,68
37,79
37,11
37,84
37,23
37,82
37,16
37,32
37,96
37,60
37,19
37,74
91,55
91,72
91,32
85,24
85,24
85,61
85,69
85,84
85,58
85,72
85,65
85,5
85,54
85,41
85,42
72,11
72,83
72,59
72,77
72,66
72,75
72,30
72,51
72,21
72,55
72,27
72,47
72,76
72,43
72,73
72,15
72,58
72,26
90,43
90,54
90,82
90,82
90,55
90,2
90,47
90,13
90,25
98,42
57,31
57,76
57,3
57,88
57,74
57,36
57,0
57,38
57,38
57,50
57,73
57,73
57,64
57,64
57,69
57,63
57,16
57,17
34,53
34,83
34,83
34,84
34,37
34,65
34,59
34,25
34,95
34,31
34,77
56,22
56,45
56,18
56,25
56,55
56,28
56,9
56,66
56,70
56,70
56,31
56,54
56,13
56,26
56,82
56,16
70,25
70,97
70,97
70,46
70,27
70,12
70,12
70,57
70,63
70,38
70,62
70,50
70,93
70,95
70,51
70,7
70,29
70,88
70,85
70,53
81,67
81,55
81,55
81,85
81,29
81,100
81,72
81,52
81,57
81,27
81,42
94,66
94,26
94,26
94,4
27,28
27,57
27,57
27,60
27,51
27,83
27,43
27,40
27,88
49,50
49,50
49,50
49,47
49,79
49,86
49,57
49,88
49,43
49,31
49,33
49,93
55,48
55,77
55,10
55,50
55,47
55,51
55,54
55,16
55,66
55,66
55,8
55,28
55,29
55,67
60,35
60,76
60,76
60,93
60,93
60,82
60,82
60,39
60,13
60,28
60,29
60,75
60,25
60,71
41,96
41,48
41,14
41,31
41,89
41,10
41,35
41,72
41,72
41,72
41,66
41,74
41,73
41,4
77,89
77,65
77,9
77,90
77,54
77,37
77,75
77,32
77,24
77,67
77,41
77,6
77,88
77,34
73,64
73,80
73,23
73,48
73,12
73,12
73,63
73,91
73,95
73,27
73,84
73,20
73,50
73,8
73,60
73,83
73,74
73,74
73,29
73,86
73,87
73,76
73,21
73,78
73,78
97,74
97,26
97,24
97,67
97,68
97,91
89,49
89,45
89,71
89,58
89,59
89,62
89,8
87,47
87,32
87,63
87,57
87,60
87,85
87,46
87,7
43,29
43,29
43,53
43,60
43,11
43,51
43,51
43,51
43,75
43,41
43,80
43,80
43,44
43,63
43,13
43,83
43,83
43,20
33,41
33,54
33,25
33,83
33,94
33,59
33,44
33,85
33,70
33,70
33,56
33,68
33,69
22,74
22,13
22,13
22,73
22,73
22,73
22,36
22,58
22,47
22,55
22,25
22,25
18,93
18,93
18,24
17,94
17,81
17,81
17,72
17,72
84,53
84,51
84,64
84,52
95,50
95,33
95,9
95,0
40,89
40,48
40,48
40,37
40,74
40,30
40,62
40,75
40,46
40,18
40,49
40,31
40,17
40,45
40,21
40,80
40,70
40,70
40,78
36,69
36,88
36,46
36,46
36,46
36,13
36,76
36,72
36,35
36,48
36,41
36,53
36,9
36,29
36,63
36,16
25,39
25,5
25,10
25,58
25,58
25,49
25,51
48,55
48,55
48,50
48,53
48,68
48,78
48,57
48,91
48,27
48,24
48,24
48,24
86,56
86,66
86,39
86,39
86,88
86,2
86,74
86,38
86,23
86,75
86,28
86,37
86,6
45,44
45,41
45,18
45,31
45,24
45,49
45,28
50,49
50,49
50,49
50,49
50,77
50,50
50,50
50,50
50,50
50,50
50,74
24,47
24,4
24,60
24,46
35,27
35,69
35,10
35,83
35,72
35,74
35,22
35,78
35,91
35,55
20,89
20,89
20,53
20,28
47,42
47,45
47,65
47,44
47,57
47,70
47,36
47,17
47,90
47,46
39,17
39,63
39,72
39,72
39,88
39,70
39,20
39,46
39,24
39,79
31,20
31,84
31,58
31,38
31,59
31,75
31,72
42,23
42,84
42,81
42,70
42,85
42,39
42,19
42,7
42,24
42,13
42,17
42,15
42,65
26,38
26,67
26,43
26,50
26,34
26,15
26,47
83,63
83,85
83,39
83,12
83,46
83,35
83,5
28,31
28,16
28,13
28,53
28,35
28,37
51,49
51,49
51,17
51,14
51,20
51,21
51,70
51,45
93,56
93,18
93,10
93,9
23,60
23,54
23,32
23,35
23,50
82,36
82,64
82,64
13,35
13,59
13,88
13,85
13,85
19,34
19,36
12,48
88,50
88,50
88,6
88,72
9,67
9,67
21,28
21,28
29,45
29,34
29,51
29,31
29,48
29,93
29,87
100,26
100,62
14,72
14,9
14,10
14,51
15,73
15,92
15,66
15,66
15,63
15,63
15,45
15,45
11,3
5,33
