X,Y
72,70
72,56
72,60
72,90
72,81
72,88
72,37
72,39
72,41
72,49
72,91
72,52
72,85
72,30
43,54
43,56
43,72
43,61
43,68
43,68
43,65
43,70
43,62
43,62
43,78
43,30
43,31
43,79
43,10
13,10
13,96
13,44
17,9
17,92
17,14
18,8
18,52
18,48
39,87
39,95
39,76
39,80
39,80
39,55
39,85
39,9
39,75
39,46
39,46
39,78
39,25
39,8
39,82
39,67
39,44
39,28
42,85
42,67
42,74
42,68
42,68
42,20
42,92
42,91
42,84
42,19
42,33
42,33
42,37
42,81
42,78
42,62
42,64
31,50
31,50
31,68
31,53
31,83
31,55
31,76
31,69
31,26
31,16
40,66
40,66
40,58
40,16
40,50
40,92
40,59
40,75
49,72
49,63
49,90
49,3
49,76
63,7
63,83
63,84
63,84
63,78
63,51
63,50
63,88
63,88
63,88
63,96
63,46
63,46
63,86
63,61
63,67
63,28
63,26
63,10
63,58
63,73
63,3
63,3
63,64
63,64
63,12
63,34
63,32
63,91
63,35
63,89
63,89
63,69
63,36
63,14
63,90
62,96
62,96
62,96
62,96
62,95
62,82
62,82
62,80
62,80
62,3
62,83
62,5
62,15
62,50
62,50
62,8
62,8
62,87
62,71
57,97
57,48
57,81
57,69
57,66
57,66
57,70
57,67
57,90
57,90
57,89
57,89
57,88
57,30
57,61
57,65
57,62
57,25
57,15
57,0
57,33
57,12
57,59
57,44
57,45
57,36
57,75
57,72
57,47
57,71
55,72
55,23
55,73
55,73
55,48
55,48
55,45
55,45
55,44
55,44
55,67
55,85
55,96
55,63
55,52
55,29
55,5
55,50
55,71
55,18
55,65
55,47
34,94
34,55
34,75
34,77
34,72
34,76
34,76
34,76
34,76
34,82
34,64
34,32
34,36
34,27
34,45
34,65
36,49
36,94
36,94
36,57
36,24
36,95
36,59
36,31
36,60
36,41
36,50
36,64
48,48
48,84
48,44
48,44
48,61
48,94
48,54
48,67
48,83
29,9
29,93
29,71
29,31
29,54
29,66
29,61
29,74
29,77
29,56
29,46
28,38
28,97
28,95
28,54
28,68
28,63
28,52
28,46
28,49
35,49
35,64
35,46
35,52
35,79
35,32
35,35
35,39
35,39
35,50
35,37
35,55
35,54
35,96
35,96
