match,player,X,Y
Goiás x São Paulo,T. Volpi,29,56
Goiás x São Paulo,T. Volpi,19,59
Goiás x São Paulo,T. Volpi,22,54
Goiás x São Paulo,T. Volpi,3,34
Goiás x São Paulo,T. Volpi,4,54
Goiás x São Paulo,T. Volpi,14,68
Goiás x São Paulo,T. Volpi,20,57
Goiás x São Paulo,T. Volpi,5,40
Goiás x São Paulo,T. Volpi,10,40
Goiás x São Paulo,T. Volpi,19,49
Goiás x São Paulo,T. Volpi,18,48
Goiás x São Paulo,T. Volpi,28,42
Goiás x São Paulo,T. Volpi,21,34
Goiás x São Paulo,T. Volpi,21,53
Goiás x São Paulo,T. Volpi,8,43
Goiás x São Paulo,T. Volpi,23,57
Goiás x São Paulo,T. Volpi,4,50
Goiás x São Paulo,T. Volpi,12,53
Goiás x São Paulo,T. Volpi,2,50
Goiás x São Paulo,T. Volpi,2,50
Goiás x São Paulo,T. Volpi,11,42
Goiás x São Paulo,T. Volpi,22,57
Goiás x São Paulo,T. Volpi,22,67
Goiás x São Paulo,T. Volpi,4,48
Goiás x São Paulo,T. Volpi,1,58
Goiás x São Paulo,T. Volpi,13,57
Goiás x São Paulo,T. Volpi,7,50
Goiás x São Paulo,T. Volpi,14,47
Goiás x São Paulo,T. Volpi,8,50
Goiás x São Paulo,T. Volpi,4,48
Goiás x São Paulo,T. Volpi,4,49
Goiás x São Paulo,T. Volpi,9,69
Goiás x São Paulo,T. Volpi,3,52
Goiás x São Paulo,T. Volpi,3,52
Goiás x São Paulo,T. Volpi,3,53
Goiás x São Paulo,T. Volpi,3,52
Goiás x São Paulo,T. Volpi,19,50
Goiás x São Paulo,T. Volpi,4,51
Goiás x São Paulo,T. Volpi,8,53
Goiás x São Paulo,T. Volpi,11,57
Goiás x São Paulo,T. Volpi,15,48
Goiás x São Paulo,T. Volpi,1,50
Goiás x São Paulo,T. Volpi,0,51
Goiás x São Paulo,T. Volpi,8,52
Goiás x São Paulo,T. Volpi,9,55
Goiás x São Paulo,T. Volpi,6,55
Goiás x São Paulo,T. Volpi,11,65
Goiás x São Paulo,T. Volpi,11,41
Goiás x São Paulo,T. Volpi,7,51
Goiás x São Paulo,T. Volpi,11,45
Goiás x São Paulo,T. Volpi,10,61
Goiás x São Paulo,T. Volpi,3,54
Goiás x São Paulo,T. Volpi,2,50
Goiás x São Paulo,T. Volpi,12,29
Goiás x São Paulo,T. Volpi,14,29
Goiás x São Paulo,T. Volpi,14,32
Goiás x São Paulo,T. Volpi,4,53
Goiás x São Paulo,Juanfran,35,4
Goiás x São Paulo,Juanfran,71,2
Goiás x São Paulo,Juanfran,54,47
Goiás x São Paulo,Juanfran,90,53
Goiás x São Paulo,Juanfran,41,34
Goiás x São Paulo,Juanfran,13,5
Goiás x São Paulo,Juanfran,23,4
Goiás x São Paulo,Juanfran,46,17
Goiás x São Paulo,Juanfran,55,7
Goiás x São Paulo,Juanfran,59,3
Goiás x São Paulo,Juanfran,58,3
Goiás x São Paulo,Juanfran,62,4
Goiás x São Paulo,Juanfran,59,3
Goiás x São Paulo,Juanfran,63,5
Goiás x São Paulo,Juanfran,53,0
Goiás x São Paulo,Juanfran,66,4
Goiás x São Paulo,Juanfran,60,5
Goiás x São Paulo,Juanfran,83,5
Goiás x São Paulo,Juanfran,68,57
Goiás x São Paulo,Juanfran,56,15
Goiás x São Paulo,Juanfran,52,7
Goiás x São Paulo,Juanfran,43,4
Goiás x São Paulo,Juanfran,74,53
Goiás x São Paulo,Juanfran,11,28
Goiás x São Paulo,Juanfran,8,10
Goiás x São Paulo,Juanfran,40,9
Goiás x São Paulo,Juanfran,45,17
Goiás x São Paulo,Juanfran,41,6
Goiás x São Paulo,Juanfran,89,8
Goiás x São Paulo,Juanfran,30,9
Goiás x São Paulo,Juanfran,35,4
Goiás x São Paulo,Juanfran,22,0
Goiás x São Paulo,Juanfran,34,6
Goiás x São Paulo,Juanfran,34,7
Goiás x São Paulo,Juanfran,94,23
Goiás x São Paulo,Juanfran,39,14
Goiás x São Paulo,Juanfran,45,14
Goiás x São Paulo,Juanfran,25,9
Goiás x São Paulo,Juanfran,39,2
Goiás x São Paulo,Juanfran,78,24
Goiás x São Paulo,Juanfran,82,10
Goiás x São Paulo,Juanfran,23,15
Goiás x São Paulo,Juanfran,22,7
Goiás x São Paulo,Juanfran,58,4
Goiás x São Paulo,Juanfran,56,4
Goiás x São Paulo,Juanfran,45,12
Goiás x São Paulo,Juanfran,51,16
Goiás x São Paulo,Juanfran,53,14
Goiás x São Paulo,Juanfran,52,14
Goiás x São Paulo,Juanfran,76,3
Goiás x São Paulo,Juanfran,82,4
Goiás x São Paulo,Juanfran,29,9
Goiás x São Paulo,R. Arboleda,27,19
Goiás x São Paulo,R. Arboleda,33,30
Goiás x São Paulo,R. Arboleda,37,13
Goiás x São Paulo,R. Arboleda,53,14
Goiás x São Paulo,R. Arboleda,60,16
Goiás x São Paulo,R. Arboleda,63,44
Goiás x São Paulo,R. Arboleda,61,19
Goiás x São Paulo,R. Arboleda,36,79
Goiás x São Paulo,R. Arboleda,41,38
Goiás x São Paulo,R. Arboleda,14,27
Goiás x São Paulo,R. Arboleda,12,20
Goiás x São Paulo,R. Arboleda,45,36
Goiás x São Paulo,R. Arboleda,40,45
Goiás x São Paulo,R. Arboleda,42,28
Goiás x São Paulo,R. Arboleda,40,30
Goiás x São Paulo,R. Arboleda,42,22
Goiás x São Paulo,R. Arboleda,39,8
Goiás x São Paulo,R. Arboleda,33,62
Goiás x São Paulo,R. Arboleda,8,43
Goiás x São Paulo,R. Arboleda,43,12
Goiás x São Paulo,R. Arboleda,98,43
Goiás x São Paulo,R. Arboleda,25,43
Goiás x São Paulo,R. Arboleda,87,49
Goiás x São Paulo,R. Arboleda,87,48
Goiás x São Paulo,R. Arboleda,41,10
Goiás x São Paulo,R. Arboleda,39,21
Goiás x São Paulo,R. Arboleda,35,9
Goiás x São Paulo,R. Arboleda,25,46
Goiás x São Paulo,R. Arboleda,23,59
Goiás x São Paulo,R. Arboleda,22,47
Goiás x São Paulo,R. Arboleda,8,57
Goiás x São Paulo,R. Arboleda,31,69
Goiás x São Paulo,R. Arboleda,34,49
Goiás x São Paulo,R. Arboleda,33,40
