round,date,home_team,home_score,away_score,away_team
1,2020-08-08,Fortaleza,0,2,Athletico-PR
1,2020-08-08,Coritiba,0,1,Internacional
1,2020-08-08,Sport Recife,3,2,Ceará
1,2020-08-09,Flamengo,0,1,Atl. Mineiro
1,2020-08-09,Santos,1,1,RB Bragantino
1,2020-08-09,Grêmio,1,0,Fluminense
1,2020-09-30,Botafogo,1,2,Bahia
1,2020-09-30,Corinthians,0,0,Atlético GO
1,2020-12-03,Goiás,0,3,São Paulo
1,2021-01-26,Palmeiras,1,1,Vasco
2,2020-08-12,Atl. Mineiro,3,2,Corinthians
2,2020-08-12,Athletico-PR,2,1,Goiás
2,2020-08-12,RB Bragantino,1,1,Botafogo
2,2020-08-12,Atlético GO,3,0,Flamengo
2,2020-08-12,Bahia,1,0,Coritiba
2,2020-08-12,Ceará,1,1,Grêmio
2,2020-08-12,Fluminense,1,1,Palmeiras
2,2020-08-13,São Paulo,1,0,Fortaleza
2,2020-08-13,Internacional,2,0,Santos
2,2020-08-13,Vasco,2,0,Sport Recife
3,2020-08-15,Grêmio,0,0,Corinthians
3,2020-08-15,Coritiba,0,1,Flamengo
3,2020-08-15,Palmeiras,1,1,Goiás
3,2020-08-16,Atl. Mineiro,2,0,Ceará
3,2020-08-16,Bahia,2,1,RB Bragantino
3,2020-08-16,Vasco,2,1,São Paulo
3,2020-08-16,Fluminense,2,1,Internacional
3,2020-08-16,Atlético GO,1,1,Sport Recife
3,2020-08-16,Fortaleza,0,0,Botafogo
3,2020-08-16,Santos,3,1,Athletico-PR
4,2020-08-19,Flamengo,1,1,Grêmio
4,2020-08-19,RB Bragantino,2,1,Fluminense
4,2020-08-19,Athletico-PR,0,1,Palmeiras
4,2020-08-19,Goiás,1,3,Fortaleza
4,2020-08-19,Internacional,3,0,Atlético GO
4,2020-08-19,Botafogo,2,1,Atl. Mineiro
4,2020-08-19,Corinthians,3,1,Coritiba
4,2020-08-20,Sport Recife,0,1,Santos
4,2020-08-20,Ceará,0,3,Vasco
4,2020-08-20,São Paulo,1,1,Bahia
5,2020-08-22,Athletico-PR,0,1,Fluminense
5,2020-08-22,Internacional,1,0,Atl. Mineiro
5,2020-08-22,Goiás,2,0,Atlético GO
5,2020-08-23,Flamengo,1,1,Botafogo
5,2020-08-23,Palmeiras,2,1,Santos
5,2020-08-23,RB Bragantino,1,2,Coritiba
5,2020-08-23,Vasco,0,0,Grêmio
5,2020-08-23,Sport Recife,0,1,São Paulo
5,2020-08-23,Ceará,2,0,Bahia
5,2020-08-26,Corinthians,1,1,Fortaleza
6,2020-08-29,Botafogo,0,2,Internacional
6,2020-08-29,Bahia,1,1,Palmeiras
6,2020-08-29,Fluminense,2,1,Vasco
6,2020-08-29,Fortaleza,3,0,RB Bragantino
6,2020-08-30,São Paulo,2,1,Corinthians
6,2020-08-30,Coritiba,1,0,Sport Recife
6,2020-08-30,Santos,0,1,Flamengo
6,2020-08-30,Atlético GO,0,2,Ceará
6,2020-11-18,Atl. Mineiro,0,2,Athletico-PR
6,2020-11-30,Grêmio,2,1,Goiás
7,2020-09-02,Ceará,1,0,Fortaleza
7,2020-09-02,Fluminense,1,1,Atlético GO
7,2020-09-02,Goiás,1,2,Corinthians
7,2020-09-02,Bahia,3,5,Flamengo
7,2020-09-02,Botafogo,0,0,Coritiba
7,2020-09-02,Athletico-PR,1,1,RB Bragantino
7,2020-09-02,Palmeiras,1,1,Internacional
7,2020-09-02,Santos,2,2,Vasco
7,2020-09-03,Grêmio,1,2,Sport Recife
7,2020-09-03,Atl. Mineiro,3,0,São Paulo
8,2020-09-05,Flamengo,2,1,Fortaleza
8,2020-09-05,Corinthians,2,2,Botafogo
8,2020-09-05,Ceará,0,1,Santos
8,2020-09-06,RB Bragantino,1,2,Palmeiras
8,2020-09-06,Internacional,2,2,Bahia
8,2020-09-06,São Paulo,3,1,Fluminense
8,2020-09-06,Vasco,1,0,Athletico-PR
8,2020-09-06,Atlético GO,1,1,Grêmio
8,2020-09-06,Coritiba,0,1,Atl. Mineiro
8,2020-09-06,Sport Recife,2,1,Goiás
9,2020-09-09,Athletico-PR,1,1,Botafogo
9,2020-09-09,Fortaleza,1,0,Sport Recife
9,2020-09-09,Goiás,3,3,Coritiba
9,2020-09-09,São Paulo,1,1,RB Bragantino
9,2020-09-09,Fluminense,1,2,Flamengo
9,2020-09-09,Santos,3,1,Atl. Mineiro
9,2020-09-10,Bahia,0,2,Grêmio
9,2020-09-10,Corinthians,0,2,Palmeiras
9,2020-09-10,Internacional,2,0,Ceará
9,2020-09-10,Vasco,1,2,Atlético GO
10,2020-09-12,Athletico-PR,1,0,Coritiba
10,2020-09-12,Santos,2,2,São Paulo
10,2020-09-13,Fluminense,2,1,Corinthians
10,2020-09-13,Grêmio,1,1,Fortaleza
10,2020-09-13,Atl. Mineiro,2,1,RB Bragantino
10,2020-09-13,Bahia,0,1,Atlético GO
10,2020-09-13,Ceará,2,0,Flamengo
10,2020-09-13,Goiás,1,0,Internacional
10,2020-09-13,Palmeiras,2,2,Sport Recife
10,2020-09-13,Botafogo,2,3,Vasco
11,2020-08-26,São Paulo,1,0,Athletico-PR
11,2020-09-16,Corinthians,3,2,Bahia
11,2020-09-19,Fortaleza,1,0,Internacional
11,2020-09-19,RB Bragantino,4,2,Ceará
11,2020-09-19,Atlético GO,3,4,Atl. Mineiro
11,2020-09-20,Coritiba,1,0,Vasco
11,2020-09-20,Grêmio,1,1,Palmeiras
11,2020-09-20,Botafogo,0,0,Santos
11,2020-09-20,Sport Recife,1,0,Fluminense
11,2020-10-13,Flamengo,2,1,Goiás
12,2020-09-23,Sport Recife,1,0,Corinthians
12,2020-09-26,Athletico-PR,1,0,Bahia
12,2020-09-26,Internacional,1,1,São Paulo
12,2020-09-26,Atl. Mineiro,3,1,Grêmio
12,2020-09-27,Vasco,1,1,RB Bragantino
12,2020-09-27,Palmeiras,1,1,Flamengo
12,2020-09-27,Atlético GO,1,1,Botafogo
12,2020-09-27,Ceará,2,2,Goiás
12,2020-09-27,Santos,1,1,Fortaleza
12,2020-09-28,Fluminense,4,0,Coritiba
13,2020-10-03,Grêmio,1,1,Internacional
13,2020-10-03,Palmeiras,2,1,Ceará
13,2020-10-03,RB Bragantino,0,0,Corinthians
13,2020-10-04,Botafogo,1,1,Fluminense
13,2020-10-04,Coritiba,1,1,São Paulo
13,2020-10-04,Flamengo,3,1,Athletico-PR
13,2020-10-04,Bahia,1,2,Sport Recife
13,2020-10-04,Fortaleza,0,0,Atlético GO
13,2020-10-04,Goiás,2,3,Santos
13,2020-10-04,Atl. Mineiro,4,1,Vasco
14,2020-10-07,Corinthians,1,1,Santos
14,2020-10-07,Bahia,3,0,Vasco
14,2020-10-07,Flamengo,3,0,Sport Recife
14,2020-10-07,Grêmio,2,1,Coritiba
14,2020-10-07,Goiás,2,4,Fluminense
14,2020-10-07,São Paulo,3,0,Atlético GO
14,2020-10-07,Botafogo,2,1,Palmeiras
14,2020-10-07,Fortaleza,2,1,Atl. Mineiro
14,2020-10-08,Athletico-PR,0,0,Ceará
